NAME_2,NAME_3,lat,long,avg_rainfall,max_rainfall,elevation,slope,ndvi,month,year,landcover_class,population_density,drainage_density,distance_to_river,banjir
Banggai,Banggai_Kec_2,0.582632,120.878838,143.77,158.59,792.53,26.42,0.169,8,2021,Bareland,156.02,2.35,572.77,0
Banggai Kepulauan,Banggai Kepulauan_Kec_18,-0.068163,123.827886,147.26,205.82,351.49,12.39,0.583,8,2017,Tree Cover,244.53,1.906,236.62,0
Sigi,Sigi_Kec_14,1.114599,120.603727,194.27,267.95,529.74,32.0,0.593,9,2017,Tree Cover,125.94,5.987,903.64,0
Sigi,Sigi_Kec_2,-0.916142,119.571576,186.25,251.74,269.78,23.63,0.467,2,2022,Tree Cover,470.33,2.425,1027.42,0
Morowali,Morowali_Kec_2,0.262219,119.622492,173.52,179.19,199.98,26.71,0.428,1,2021,Tree Cover,662.96,5.06,221.9,0
Parigi Moutong,Parigi Moutong_Kec_8,-1.36441,123.05055,94.92,164.01,398.14,5.74,0.362,7,2015,Agriculture,213.13,3.316,198.02,0
Morowali,Morowali_Kec_18,-1.156116,121.580607,114.91,182.42,254.44,10.05,0.435,2,2018,Built-up,2758.72,1.854,273.96,0
Morowali Utara,Morowali Utara_Kec_20,-1.440139,124.083958,115.23,211.94,34.54,5.5,0.462,2,2020,Agriculture,162.09,4.257,51.79,0
Parigi Moutong,Parigi Moutong_Kec_6,-1.78854,120.734119,107.08,190.85,21.49,7.77,0.403,3,2015,Agriculture,364.08,2.295,2203.12,0
Morowali Utara,Morowali Utara_Kec_1,-1.451932,119.711459,186.9,240.23,371.9,7.48,0.234,11,2015,Agriculture,130.78,4.073,2305.67,0
Tolitoli,Tolitoli_Kec_11,-0.37378,122.671699,28.74,77.83,401.71,7.85,0.394,4,2016,Tree Cover,79.65,1.311,856.84,0
Buol,Buol_Kec_8,0.84047,120.578703,198.55,296.61,70.0,25.51,0.112,8,2020,Bareland,1550.69,1.235,1767.39,0
Sigi,Sigi_Kec_4,-0.696642,119.79046,152.05,171.98,62.28,7.44,0.306,6,2015,Tree Cover,21.43,5.441,248.13,0
Palu,Palu_Kec_16,0.832941,119.708284,220.59,254.07,121.36,11.53,0.197,9,2016,Agriculture,343.62,1.131,457.46,0
Parigi Moutong,Parigi Moutong_Kec_15,-0.774589,123.195133,181.44,194.64,169.1,27.24,0.454,8,2015,Built-up,2095.16,3.657,275.28,0
Morowali,Morowali_Kec_10,-1.343017,123.997276,165.6,220.1,184.91,9.96,0.775,11,2020,Tree Cover,462.55,2.226,204.31,0
Buol,Buol_Kec_8,-1.377591,122.612068,169.66,262.05,31.79,14.4,0.188,4,2020,Agriculture,85.3,1.779,507.88,1
Palu,Palu_Kec_7,0.323164,119.811016,108.24,220.93,28.84,13.26,0.244,6,2020,Tree Cover,375.56,4.577,633.24,0
Morowali,Morowali_Kec_9,-0.424206,122.304372,147.12,230.82,455.92,7.52,0.673,9,2018,Tree Cover,99.99,5.711,4210.25,0
Donggala,Donggala_Kec_9,1.143431,122.347699,128.81,130.29,180.06,21.77,0.435,7,2022,Tree Cover,305.8,1.012,518.39,0
Banggai Laut,Banggai Laut_Kec_17,-1.057979,122.703076,102.18,166.35,166.52,9.41,0.474,10,2019,Tree Cover,243.79,1.371,310.5,0
Banggai Laut,Banggai Laut_Kec_18,0.386584,119.976996,128.16,176.18,131.13,7.99,0.081,5,2017,Bareland,60.37,0.393,470.12,0
Palu,Palu_Kec_4,0.066119,124.462211,212.23,219.72,107.44,6.82,0.133,4,2019,Bareland,609.23,4.329,662.85,0
Sigi,Sigi_Kec_19,-0.820985,123.698298,139.1,155.78,468.18,8.83,0.373,8,2023,Tree Cover,801.86,1.809,720.73,0
Palu,Palu_Kec_4,0.108127,121.321771,183.86,222.9,123.24,6.56,0.229,4,2021,Tree Cover,285.71,5.59,397.83,0
Morowali,Morowali_Kec_11,-0.203935,122.452155,141.32,174.75,256.84,13.54,0.231,3,2018,Tree Cover,114.21,4.464,1509.34,0
Banggai Kepulauan,Banggai Kepulauan_Kec_17,-0.891207,121.126476,193.18,260.57,40.08,24.68,0.23,5,2022,Agriculture,1244.08,3.983,65.36,0
Morowali Utara,Morowali Utara_Kec_19,0.327962,120.336607,170.92,262.97,608.24,2.96,0.357,9,2017,Agriculture,115.31,2.247,2161.55,0
Poso,Poso_Kec_2,0.291628,123.071633,190.8,238.58,237.22,19.34,0.238,6,2018,Tree Cover,99.85,5.872,1553.34,0
Palu,Palu_Kec_17,0.38117,122.310364,149.72,219.78,95.77,23.52,0.338,4,2022,Agriculture,472.76,4.244,1359.18,0
Morowali,Morowali_Kec_14,1.101106,119.758344,240.96,292.16,397.03,23.84,0.254,7,2016,Agriculture,126.6,5.235,893.51,0
Banggai Laut,Banggai Laut_Kec_11,-1.048596,122.62437,210.6,268.43,473.08,20.39,0.6,1,2019,Tree Cover,65.94,4.41,414.72,0
Banggai Kepulauan,Banggai Kepulauan_Kec_11,0.55128,120.928792,240.67,270.94,80.83,17.5,0.573,7,2017,Tree Cover,1277.02,4.722,735.24,1
Banggai Laut,Banggai Laut_Kec_4,-0.824238,124.206362,170.25,218.98,21.77,19.11,0.081,1,2021,Built-up,436.27,1.622,183.87,0
Poso,Poso_Kec_17,-0.994399,120.937308,160.36,212.44,185.09,14.11,0.65,5,2016,Tree Cover,1044.76,4.238,373.78,0
Poso,Poso_Kec_14,-0.447941,122.86028,188.9,314.61,57.41,20.87,0.47,9,2015,Tree Cover,1100.76,0.142,699.59,0
Morowali Utara,Morowali Utara_Kec_10,-0.449237,124.287905,206.22,246.2,41.78,9.1,0.029,11,2023,Built-up,193.4,2.658,4471.42,0
Sigi,Sigi_Kec_7,-0.159372,122.853378,102.11,171.61,212.26,17.7,0.006,7,2024,Bareland,1073.6,5.316,386.68,0
